method,delta_d,true_d,accuracy
DRUID,0,1,100
DRUID,0,2,95
DRUID,0,3,81
DRUID,0,4,71
DRUID,0,5,52
DRUID,0,6,36
DRUID,0,7,31
DRUID,0,8,27
DRUID,0,9,11
DRUID,0,10,20
DRUID,0,11,0
DRUID,0,12,0
Likelihood,0,1,100
Likelihood,0,2,94
Likelihood,0,3,79
Likelihood,0,4,68
Likelihood,0,5,48
Likelihood,0,6,34
Likelihood,0,7,28
Likelihood,0,8,19
Likelihood,0,9,22
Likelihood,0,10,12
Likelihood,0,11,19
Likelihood,0,12,20
SNPBag,0,1,100
SNPBag,0,2,96
SNPBag,0,3,82
SNPBag,0,4,68
SNPBag,0,5,46
SNPBag,0,6,34
SNPBag,0,7,24
SNPBag,0,8,27
SNPBag,0,9,25
SNPBag,0,10,9
SNPBag,0,11,0
SNPBag,0,12,7
DRUID,1,1,100
DRUID,1,2,100
DRUID,1,3,100
DRUID,1,4,99
DRUID,1,5,93
DRUID,1,6,81
DRUID,1,7,75
DRUID,1,8,71
DRUID,1,9,68
DRUID,1,10,55
DRUID,1,11,47
DRUID,1,12,20
Likelihood,1,1,100
Likelihood,1,2,100
Likelihood,1,3,100
Likelihood,1,4,98
Likelihood,1,5,88
Likelihood,1,6,73
Likelihood,1,7,65
Likelihood,1,8,55
Likelihood,1,9,50
Likelihood,1,10,53
Likelihood,1,11,41
Likelihood,1,12,40
SNPBag,1,1,100
SNPBag,1,2,100
SNPBag,1,3,100
SNPBag,1,4,98
SNPBag,1,5,92
SNPBag,1,6,84
SNPBag,1,7,76
SNPBag,1,8,75
SNPBag,1,9,62
SNPBag,1,10,41
SNPBag,1,11,16
SNPBag,1,12,7
DRUID,2,1,100
DRUID,2,2,100
DRUID,2,3,100
DRUID,2,4,100
DRUID,2,5,99
DRUID,2,6,92
DRUID,2,7,85
DRUID,2,8,90
DRUID,2,9,92
DRUID,2,10,87
DRUID,2,11,70
DRUID,2,12,46
Likelihood,2,1,100
Likelihood,2,2,100
Likelihood,2,3,100
Likelihood,2,4,100
Likelihood,2,5,96
Likelihood,2,6,86
Likelihood,2,7,79
Likelihood,2,8,75
Likelihood,2,9,73
Likelihood,2,10,79
Likelihood,2,11,73
Likelihood,2,12,70
SNPBag,2,1,100
SNPBag,2,2,100
SNPBag,2,3,100
SNPBag,2,4,100
SNPBag,2,5,96
SNPBag,2,6,94
SNPBag,2,7,95
SNPBag,2,8,94
SNPBag,2,9,84
SNPBag,2,10,77
SNPBag,2,11,49
SNPBag,2,12,19
DRUID,3,1,100
DRUID,3,2,100
DRUID,3,3,100
DRUID,3,4,100
DRUID,3,5,99
DRUID,3,6,97
DRUID,3,7,91
DRUID,3,8,100
DRUID,3,9,100
DRUID,3,10,95
DRUID,3,11,93
DRUID,3,12,64
Likelihood,3,1,100
Likelihood,3,2,100
Likelihood,3,3,100
Likelihood,3,4,100
Likelihood,3,5,99
Likelihood,3,6,92
Likelihood,3,7,81
Likelihood,3,8,83
Likelihood,3,9,83
Likelihood,3,10,83
Likelihood,3,11,98
Likelihood,3,12,90
SNPBag,3,1,100
SNPBag,3,2,100
SNPBag,3,3,100
SNPBag,3,4,100
SNPBag,3,5,99
SNPBag,3,6,99
SNPBag,3,7,98
SNPBag,3,8,96
SNPBag,3,9,95
SNPBag,3,10,95
SNPBag,3,11,83
SNPBag,3,12,56
